Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
1,0.00273973,414.506,1.13563,100,4.14506,0.02,-10.8589
2,0.00547945,412.262,1.12949,100,4.12262,0,0.539816
3,0.00821918,411.719,1.128,100,4.11719,0,0.965562
