FisherID,Age(Years)
0,2.73973
1,2.73973
2,2.73973
3,2.73973
4,2.73973
5,2.73973
6,2.73973
7,2.73973
8,2.73973
9,2.73973
10,2.73973
11,2.73973
12,2.73973
13,2.73973
14,2.73973
15,2.73973
16,2.73973
17,2.73973
18,2.73973
19,2.73973
20,2.73973
21,2.73973
22,2.73973
23,2.73973
24,2.73973
25,2.73973
26,2.73973
27,2.73973
28,2.73973
29,2.73973
30,2.73973
31,2.73973
32,2.73973
33,2.73973
34,2.73973
35,2.73973
36,2.73973
37,2.73973
38,2.73973
39,2.73973
40,2.73973
41,2.73973
42,2.73973
43,2.73973
44,2.73973
45,2.73973
46,2.73973
47,2.73973
48,2.73973
49,2.73973
50,2.73973
51,2.73973
52,2.73973
53,2.73973
54,2.73973
55,2.73973
56,2.73973
57,2.73973
58,2.73973
59,2.73973
60,2.73973
61,2.73973
62,2.73973
63,2.73973
64,2.73973
65,2.73973
66,2.73973
67,2.73973
68,2.73973
69,2.73973
70,2.73973
71,2.73973
72,2.73973
73,2.73973
74,2.73973
75,2.73973
76,2.73973
77,2.73973
78,2.73973
79,2.73973
80,2.73973
81,2.73973
82,2.73973
83,2.73973
84,2.73973
85,2.73973
86,2.73973
87,2.73973
88,2.73973
89,2.73973
90,2.73973
91,2.73973
92,2.73973
93,2.73973
94,2.73973
95,2.73973
96,2.73973
97,2.73973
98,2.73973
99,2.73973
100,2.67671
101,2.54247
102,2.50137
103,2.33425
104,1.5726
105,0.287671
