Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
93,0.254795,372.023,1.01924,101,3.6834,0.0891089,2.22031e-14
94,0.257534,360.022,0.986363,101,3.56458,0.0891089,0
95,0.260274,356.022,0.975403,101,3.52497,0.0891089,-2.22031e-14
96,0.263014,372.023,1.01924,101,3.6834,0.0891089,2.22031e-14
97,0.265753,372.023,1.01924,101,3.6834,0.0891089,0
98,0.268493,336.021,0.920605,101,3.32694,0.0891089,-4.44062e-14
99,0.271233,368.023,1.00828,101,3.64379,0.0891089,4.44062e-14
100,0.273973,380.024,1.04116,101,3.76261,0.0891089,2.22031e-14
101,0.276712,368.023,1.00828,101,3.64379,0.0891089,-2.22031e-14
102,0.279452,356.022,0.975403,101,3.52497,0.0891089,-2.22031e-14
103,0.282192,372.023,1.01924,101,3.6834,0.0891089,2.22031e-14
104,0.284932,364.023,0.997322,101,3.60418,0.0891089,0
105,0.287671,356.022,0.975403,101,3.52497,0.0891089,-2.22031e-14
106,0.290411,384.024,1.05212,102,3.76494,0.0980392,4.44062e-14
107,0.293151,364.023,0.997322,102,3.56885,0.0980392,-2.22031e-14
108,0.29589,396.025,1.085,102,3.88259,0.0980392,4.44062e-14
109,0.29863,360.022,0.986363,102,3.52963,0.0980392,-4.44062e-14
110,0.30137,372.023,1.01924,102,3.64729,0.0980392,0
111,0.30411,368.023,1.00828,102,3.60807,0.0980392,0
112,0.306849,380.024,1.04116,102,3.72572,0.0980392,2.22031e-14
113,0.309589,368.023,1.00828,102,3.60807,0.0980392,-2.22031e-14
114,0.312329,368.023,1.00828,102,3.60807,0.0980392,0
115,0.315068,372.023,1.01924,102,3.64729,0.0980392,0
116,0.317808,372.023,1.01924,102,3.64729,0.0980392,0
117,0.320548,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
118,0.323288,360.022,0.986363,102,3.52963,0.0980392,-2.22031e-14
119,0.326027,368.023,1.00828,102,3.60807,0.0980392,0
120,0.328767,356.022,0.975403,102,3.49041,0.0980392,-2.22031e-14
121,0.331507,396.025,1.085,102,3.88259,0.0980392,6.66092e-14
122,0.334247,324.02,0.887727,102,3.17667,0.0980392,-1.11015e-13
123,0.336986,372.023,1.01924,102,3.64729,0.0980392,6.66092e-14
124,0.339726,360.022,0.986363,102,3.52963,0.0980392,0
125,0.342466,368.023,1.00828,102,3.60807,0.0980392,0
126,0.345205,380.024,1.04116,102,3.72572,0.0980392,2.22031e-14
127,0.347945,348.022,0.953484,102,3.41198,0.0980392,-4.44062e-14
128,0.350685,372.023,1.01924,102,3.64729,0.0980392,2.22031e-14
129,0.353425,384.024,1.05212,102,3.76494,0.0980392,2.22031e-14
130,0.356164,372.023,1.01924,102,3.64729,0.0980392,-2.22031e-14
131,0.358904,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
132,0.361644,352.022,0.964444,102,3.4512,0.0980392,-4.44062e-14
133,0.364384,376.023,1.0302,102,3.6865,0.0980392,4.44062e-14
134,0.367123,368.023,1.00828,102,3.60807,0.0980392,-2.22031e-14
135,0.369863,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
136,0.372603,380.024,1.04116,102,3.72572,0.0980392,0
137,0.375342,364.023,0.997322,102,3.56885,0.0980392,-2.22031e-14
138,0.378082,348.022,0.953484,102,3.41198,0.0980392,-2.22031e-14
139,0.380822,356.022,0.975403,102,3.49041,0.0980392,0
140,0.383562,352.022,0.964444,102,3.4512,0.0980392,0
141,0.386301,348.022,0.953484,102,3.41198,0.0980392,0
142,0.389041,360.022,0.986363,102,3.52963,0.0980392,2.22031e-14
143,0.391781,356.022,0.975403,102,3.49041,0.0980392,-2.22031e-14
144,0.394521,368.023,1.00828,102,3.60807,0.0980392,2.22031e-14
145,0.39726,372.023,1.01924,102,3.64729,0.0980392,0
146,0.4,360.022,0.986363,102,3.52963,0.0980392,0
147,0.40274,388.024,1.06308,102,3.80416,0.0980392,2.22031e-14
148,0.405479,372.023,1.01924,102,3.64729,0.0980392,-2.22031e-14
149,0.408219,372.023,1.01924,102,3.64729,0.0980392,0
150,0.410959,356.022,0.975403,102,3.49041,0.0980392,-2.22031e-14
151,0.413699,368.023,1.00828,102,3.60807,0.0980392,2.22031e-14
152,0.416438,372.023,1.01924,102,3.64729,0.0980392,0
153,0.419178,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
154,0.421918,372.023,1.01924,102,3.64729,0.0980392,-2.22031e-14
155,0.424658,348.022,0.953484,102,3.41198,0.0980392,-2.22031e-14
